,expediente,producto,titular,registrosanitario,fechaexpedicion,fechavencimiento,estadoregistro,expedientecum,consecutivocum,cantidadcum,descripcioncomercial,estadocum,fechaactivo,fechainactivo,muestramedica,unidad,atc,descripcionatc,viaadministracion,concentracion,principioactivo,unidadmedida,cantidad,unidadreferencia,formafarmaceutica,nombrerol,tiporol,modalidad
0,20089832,SEROLUX® 100 MG,SANDOZ GMBH,INVIMA 2015M-0015904,06/01/2015,06/22/2020,Vigente,20089832,9,14.0,MUESTRA MEDICA: CAJA POR 14 TABLETAS EN BLISTER PVC/PVDC/ALU,Activo,02/27/2015,,Si,U,N06AB06,SERTRALINA,ORAL,A,SERTRALINA CLORHIDRATO 111.98 MG EQUIVALENTE A SERTRALINA BASE,mg,100.0,TABLETA RECUBIERTA,TABLETA RECUBIERTA,NOVARTIS DE COLOMBIA S.A.,IMPORTADOR,IMPORTAR Y VENDER
1,19924207,BECLOMETASONA 50 MCG/DOSIS SOLUCIÓN PARA INHALACION,TECNOQUIMICAS S.A.,INVIMA 2018M-0001082-R2,02/18/2002,01/29/2024,Vigente,19924207,1,200.0,CAJA POR UN ENVASE INHALADOR CON CUERPO DE ALUMINIO. ADAPTADOR Y TAPA EN POLIPROPILENO POR 200 DOSIS,Activo,11/10/2006,,No,U,R01AD01,BECLOMETASONA,INHALACION,F,BECLOMETASONA DIPROPIONATO,mcg,50.0,DOSIS,SOLUCION PARA INHALACION,TECNOQUIMICAS S.A.,IMPORTADOR,IMPORTAR Y VENDER
2,20096303,EPTAVIS ® NIŃOS 1G,CENTRO SPERIMENTALE DEL LATTE S.P.A.,INVIMA 2015M-0016364,10/08/2015,10/26/2020,Vigente,20096303,4,2.0,MUESTRA MEDICA: CAJA PLEGADIZA CON 2 SOBRES DE PET/AL/PE POR 1 G CADA UNO.,Activo,09/24/2015,,Si,U,G01AX14,LACTOBACILOS FERMENTO,ORAL,A,STREPTOCOCCUS SALIVARIUS SUBSP. THERMOPHILUS MINIMO,billion organisms,48.0,SOBRE DE 1G DE GRANULADO,GRANULOS,TECNOQUIMICAS S.A.,IMPORTADOR,IMPORTAR Y VENDER
3,19915564,GLIMEPIRIDA 4 MG COMPRIMIDOS,TECNOQUIMICAS S.A.,INVIMA 2017M-0000074-R2,03/22/2001,07/27/2022,Vigente,19915564,5,15.0,CAJA PLEGADIZA X 15 COMPRIMIDOS EN BLISTER PVC/PE/PVDC/ALUMINIO POR 15 COMPRIMIDOS CADA UNO.,Activo,02/09/2011,,No,U,A10BB12,GLIMEPIRIDA,ORAL,A,GLIMEPIRIDA,mg,4.0,COMPRIMIDOS,COMPRIMIDO,TECNOQUIMICAS S.A.(PLANTA JAMUNDI),FABRICANTE,FABRICAR Y VENDER
4,19972118,LEVEMIR 100U/ML,NOVO NORDISK A/S,INVIMA 2018M-0006790-R1,02/07/2007,07/10/2023,Vigente,19972118,2,15.0,5 CARTUCHO DE 3 ML HECHO DE VIDRIO (TIPO I) SISTEMA DE CERRADO DE GOMA BROMOBUTIL - EMBOLO Y UN TAPON CON BROMOBUTIL/POLIISOPREN,Inactivo,01/30/2007,03/26/2014,No,ml,A10AE05,INSULIN DETEMIR,SUBCUTANEA,C,INSULINA DETEMIR 100 U. 2400 NMOL,mg,14.2,ML,SOLUCION INYECTABLE,NOVO NORDISK A/S (FABRICANTE DEL PRINCIPIO ACTIVO),FABRICANTE,IMPORTAR Y VENDER
5,20115048,LADEVINA® 10 MG CAPSULA DURA,LABORATORIO LKM S.A.,INVIMA 2019M-0018907,04/02/2019,04/22/2024,Vigente,20115048,5,168.0,1L1006491000104 CAJA POR 168 CÁPSULAS EN BLÍSTER PVC LAMINADO CON UNA CAPA DE EMPUJE DE PCTFE/AL,Activo,09/28/2017,,No,U,L04AX04,LENALIDOMIDA,ORAL,A,LENALIDOMIDA,mg,10.0,CAPSULA DURA,CAPSULA DURA,BIOTOSCANA FARMA S.A.,IMPORTADOR,IMPORTAR Y VENDER
6,20073040,PICOPREP® POLVO PARA SOLUCIÓN ORAL,FERRING GMBH,INVIMA 2015M-0015690,02/12/2015,03/18/2020,Vigente,20073040,1,1.0,CAJA POR 1 SOBRES DE PAPEL/PEBD/ALUMINIO/RESINA TERMOFUNDIBLE SURLYN,Activo,10/09/2014,,No,U,A06AB58,SODIO PICOSULFATO COMBINACIONES,ORAL,A,PICOSULFATO DE SODIO,mg,10.0,SACHET CON POLVO PARA RECONSTITUIR A SOLUCIÓN ORAL,POLVO PARA RECONSTITUIR A SOLUCION ORAL,LABORATORIOS BIOPAS S.A,IMPORTADOR,IMPORTAR Y VENDER
7,20070719,DIPROSALIC® UNGUENTO,MERCK SHARP & DOHME CORPORATION,INVIMA 2014M-0015469,11/26/2014,12/19/2019,Vigente,20070719,3,1.0,CAJA CON 1 TUBO DE ALUMINIO CON RESINA EPOXIFENÓLICA Y TAPA DE PEAD POR 30 G,Activo,11/13/2014,,No,U,D07BC01,BETAMETASONA Y ANTISEPTICOS,TOPICA (EXTERNA),D,BETAMETASONA DIPROPIONATO 0.064 G EQUIVALENTE A BETAMETASONA BASE,g,0.05,100 GRAMOS DE UNGÜENTO,UNGUENTO TOPICO,MERCK SHARP & DOHME COLOMBIA S.A.S,IMPORTADOR,IMPORTAR Y VENDER
8,20072696,BOSENTAN 62.5 MG,TECNOQUIMICAS S.A.,INVIMA 2015M-0015765,03/04/2015,03/25/2020,Vigente,20072696,24,45.0,INSTITUCIONALES:CAJA PLEGADIZA X 45  TABLETAS EN BLISTER X 5 TABLETAS CADA UNO.,Activo,01/27/2015,,No,U,C02KX01,BOSENTAN,ORAL,A,BOSENTAN MONOHIDRATO EQUIVALENTE A BOSENTAN BASE,mg,62.5,TABLETA RECUBIERTA,TABLETA RECUBIERTA,TECNOQUIMICAS S.A.,FABRICANTE,FABRICAR Y VENDER
9,20038214,OLMEDIPIN® AM 40/5 TABLETA RECUBIERTA,LABORATORIOS SYNTHESIS S.A.S.,INVIMA 2017M-0013118-R1,04/24/2012,11/09/2022,Vigente,20038214,22,40.0,CAJA POR 40 TABLETAS RECUBIERTAS EN 4 BLÍSTER ALUMINIO/ALUMINIO MAS PAPEL ALUMINIO POR 10 TABLETAS RECUBIERTAS C/U.,Activo,02/13/2017,05/07/2017,No,U,C09CA08,OLMESARTAN MEDOXIMIL,ORAL,A,AMLODIPINO BESILATO 6. 945 MG. EQUIVALENTE A AMLODIPINO BASE,mg,5.0,TABLETA RECUBIERTA,TABLETA RECUBIERTA,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,FABRICANTE,FABRICAR Y VENDER
