PROGRAMAS,2018-2
ADMINISTRACION FINANCIERA,1
ADMON DE NEGOCIOS PRESENCIAL,3
ARTES VISUALES,1
BIOLOGIA,9
CIENCIAS DE LA INFORMACION Y DOCUMENTACION,1
COMUNICACION SOCIAL Y PERIODISMO,7
CONTADURIA,20
ECONOMIA,4
ENFERMERIA,6
FILOSOFIA,6
FISICA,10
GERONTOLOGIA,3
INGENIERIA CIVIL,17
INGENIERIA DE ALIMENTOS,9
INGENIERIA DE SISTEMAS,15
INGENIERIA ELECTRONICA,13
LIC. BIOLOGIA Y EDUCACION AMBIENTAL,10
LIC. EDUCACION FISICA Y DEPORTE,4
LIC. EN LENGUAS MODERNAS,11
LIC. EN MATEMATICA,18
LIC. EN PEDAGOGIA INFANTIL,7
LIC. ESPAÑOL Y LITERATURA,10
MEDICINA,43
QUIMICA,13
SALUD OCUPACIONAL,3
TEC. AGROINDUSTRIAL,1
TEC. AGROPECUARIA,1
TEC. ELECTRONICA,9
TEC. EN INSTRUMENTACION ELECTRONICA,2
TEC. EN OBRAS CIVILES,1
TEC. EN TOPOGRAFIA,8
TEC. GESTION FINANCIERA,2
TRABAJO SOCIAL,9
Total,277
